2025-07-14 12:03:22.032 INFO  (coreLoadExecutor-11-thread-2) [ x:contact] o.a.s.c.CoreContainer Creating SolrCore 'contact' using configuration from instancedir /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/contact, trusted=true
2025-07-14 12:03:22.032 INFO  (coreLoadExecutor-11-thread-1) [ x:graph] o.a.s.c.CoreContainer Creating SolrCore 'graph' using configuration from instancedir /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/graph, trusted=true
2025-07-14 12:03:22.032 INFO  (coreLoadExecutor-11-thread-2) [ x:contact] o.a.s.c.SolrCore Opening new SolrCore at [/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/contact], dataDir=[/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/contact/data/]
2025-07-14 12:03:22.032 INFO  (coreLoadExecutor-11-thread-1) [ x:graph] o.a.s.c.SolrCore Opening new SolrCore at [/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/graph], dataDir=[/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/graph/data/]
2025-07-14 12:03:22.120 INFO  (coreLoadExecutor-11-thread-1) [ x:graph] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-07-14 12:03:22.121 INFO  (coreLoadExecutor-11-thread-3) [ x:publishRest] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-07-14 12:03:22.121 INFO  (coreLoadExecutor-11-thread-2) [ x:contact] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-07-14 12:03:22.132 INFO  (coreLoadExecutor-11-thread-3) [ x:publishRest] o.a.s.u.CommitTracker Hard AutoCommit: disabled
2025-07-14 12:03:22.132 INFO  (coreLoadExecutor-11-thread-3) [ x:publishRest] o.a.s.u.CommitTracker Soft AutoCommit: disabled
2025-07-14 12:03:22.134 INFO  (coreLoadExecutor-11-thread-1) [ x:graph] o.a.s.u.CommitTracker Hard AutoCommit: disabled
2025-07-14 12:03:22.134 INFO  (coreLoadExecutor-11-thread-1) [ x:graph] o.a.s.u.CommitTracker Soft AutoCommit: disabled
2025-07-14 12:03:22.134 INFO  (coreLoadExecutor-11-thread-2) [ x:contact] o.a.s.u.CommitTracker Hard AutoCommit: disabled
2025-07-14 12:03:22.134 INFO  (coreLoadExecutor-11-thread-2) [ x:contact] o.a.s.u.CommitTracker Soft AutoCommit: disabled
2025-07-14 12:03:22.146 INFO  (coreLoadExecutor-11-thread-3) [ x:publishRest] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/publishRest/conf
2025-07-14 12:03:22.148 INFO  (coreLoadExecutor-11-thread-3) [ x:publishRest] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2025-07-14 12:03:22.150 INFO  (coreLoadExecutor-11-thread-2) [ x:contact] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/contact/conf
2025-07-14 12:03:22.151 INFO  (searcherExecutor-28-thread-1-processing-publishRest) [ x:publishRest] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2025-07-14 12:03:22.151 INFO  (coreLoadExecutor-11-thread-2) [ x:contact] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2025-07-14 12:03:22.153 INFO  (coreLoadExecutor-11-thread-3) [ x:content] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.8.0
2025-07-14 12:03:22.154 INFO  (searcherExecutor-30-thread-1-processing-contact) [ x:contact] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2025-07-14 12:03:22.154 WARN  (coreLoadExecutor-11-thread-3) [ x:content] o.a.s.c.SolrConfig Ignored deprecated enableRemoteStreaming in config; use sys-prop
2025-07-14 12:03:22.155 WARN  (coreLoadExecutor-11-thread-3) [ x:content] o.a.s.s.ManagedIndexSchemaFactory The schema has been upgraded to managed, but the non-managed schema schema.xml is still loadable.  PLEASE REMOVE THIS FILE.
2025-07-14 12:03:22.155 INFO  (coreLoadExecutor-11-thread-2) [ x:graphDeploymentStatus] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.8.0
2025-07-14 12:03:22.156 WARN  (coreLoadExecutor-11-thread-2) [ x:graphDeploymentStatus] o.a.s.c.SolrConfig Ignored deprecated enableRemoteStreaming in config; use sys-prop
2025-07-14 12:03:22.157 INFO  (coreLoadExecutor-11-thread-2) [ x:graphDeploymentStatus] o.a.s.s.ManagedIndexSchemaFactory The schema is configured as managed, but managed schema resource managed-schema.xml  not found - loading non-managed schema schema.xml instead
2025-07-14 12:03:22.158 INFO  (coreLoadExecutor-11-thread-3) [ x:content] o.a.s.s.IndexSchema Schema name=test
2025-07-14 12:03:22.160 INFO  (coreLoadExecutor-11-thread-3) [ x:content] o.a.s.s.IndexSchema Loaded schema test/1.6 with uniqueid field ID
2025-07-14 12:03:22.161 INFO  (coreLoadExecutor-11-thread-2) [ x:graphDeploymentStatus] o.a.s.s.IndexSchema Schema name=test
2025-07-14 12:03:22.161 INFO  (coreLoadExecutor-11-thread-3) [ x:content] o.a.s.c.CoreContainer Creating SolrCore 'content' using configuration from instancedir /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/content, trusted=true
2025-07-14 12:03:22.161 INFO  (coreLoadExecutor-11-thread-3) [ x:content] o.a.s.c.SolrCore Opening new SolrCore at [/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/content], dataDir=[/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/content/data/]
2025-07-14 12:03:22.163 INFO  (coreLoadExecutor-11-thread-2) [ x:graphDeploymentStatus] o.a.s.s.IndexSchema Loaded schema test/1.6 with uniqueid field ID
2025-07-14 12:03:22.180 INFO  (coreLoadExecutor-11-thread-2) [ x:graphDeploymentStatus] o.a.s.s.ManagedIndexSchema Upgraded to managed schema at /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/graphDeploymentStatus/conf/managed-schema.xml
2025-07-14 12:03:22.200 INFO  (coreLoadExecutor-11-thread-1) [ x:graph] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/graph/conf
2025-07-14 12:03:22.201 INFO  (coreLoadExecutor-11-thread-1) [ x:graph] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2025-07-14 12:03:22.203 INFO  (searcherExecutor-32-thread-1-processing-graph) [ x:graph] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2025-07-14 12:03:22.205 INFO  (coreLoadExecutor-11-thread-2) [ x:graphDeploymentStatus] o.a.s.s.ManagedIndexSchemaFactory After upgrading to managed schema, renamed the non-managed schema /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/graphDeploymentStatus/schema.xml to /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/graphDeploymentStatus/schema.xml.bak
2025-07-14 12:03:22.205 INFO  (coreLoadExecutor-11-thread-2) [ x:graphDeploymentStatus] o.a.s.c.CoreContainer Creating SolrCore 'graphDeploymentStatus' using configuration from instancedir /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/graphDeploymentStatus, trusted=true
2025-07-14 12:03:22.205 INFO  (coreLoadExecutor-11-thread-2) [ x:graphDeploymentStatus] o.a.s.c.SolrCore Opening new SolrCore at [/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/graphDeploymentStatus], dataDir=[/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/graphDeploymentStatus/data/]
2025-07-14 12:03:22.206 INFO  (coreLoadExecutor-11-thread-1) [ x:userSetting] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.8.0
